date,accident_type,plane_type,operator,fatalities,category,first_flight,phase,nature
09-NOV-1966,Airplane - Airframe,BN-2A Islander,Britten-Norman,2,A1,1965-06-13,En route (ENR),Ferry/positioning
24-FEB-1967,Airplane - Airframe,Douglas DC-6B,Northeast Airlines,0,A1,1952,En route (ENR),Domestic Scheduled Passenger
05-MAR-1967,Airplane - Airframe,Convair CV-580,Lake Central Airlines,38,A1,1952,En route (ENR),Domestic Scheduled Passenger
09-JUN-1967,Airplane - Airframe,Lockheed C-130B Hercules,USAF,10,A1,1959,En route (ENR),Military
23-JUN-1967,Airplane - Airframe,BAC One-Eleven 204AF,Mohawk Airlines,34,A1,1966,En route (ENR),Domestic Scheduled Passenger
05-NOV-1967,Airplane - Airframe,Avro Shackleton MR.2,RAF,8,A1,1953,En route (ENR),Military
15-JAN-1968,Airplane - Airframe,Douglas DC-3,UAA,4,A1,,En route (ENR),Cargo
08-MAR-1968,Airplane - Airframe,Fairchild F-27,Air Manila Int.,14,A1,1958,En route (ENR),Domestic Scheduled Passenger
08-APR-1968,Airplane - Airframe,Douglas C-49K (DC-3),LADECO,36,A1,1942,Approach (APR),Domestic Scheduled Passenger
30-APR-1968,Airplane - Airframe,Lockheed L-100 Hercules,Pakistan AF,22,A1,1966,En route (ENR),Military
03-MAY-1968,Airplane - Airframe,Lockheed L-188A Electra,Braniff Airways,85,A1,1959,En route (ENR),Domestic Scheduled Passenger
30-JUL-1968,Airplane - Airframe,Boeing KC-135A Stratotanker,USAF,9,A1,1958-04-25,En route (ENR),Military
09-AUG-1968,Airplane - Airframe,Vickers 739A Viscount,British Eagle,48,A1,1958-07-15,En route (ENR),International Scheduled Passenger
02-DEC-1968,Airplane - Airframe,Fairchild F-27B,Wien Consolidated,39,A1,1959,Approach (APR),Domestic Scheduled Passenger
31-DEC-1968,Airplane - Airframe,Vickers 720 Viscount,MacRobertson Miller Airlines,26,A1,1954,En route (ENR),Domestic Scheduled Passenger
05-DEC-1969,Airplane - Airframe,Lockheed 18 Lodestar,private,11,A1,1942,En route (ENR),Private
06-FEB-1970,Airplane - Airframe,Douglas C-133B-DL Cargomaster,USAF,5,A1,1960,En route (ENR),Military
21-APR-1970,Airplane - Airframe,Hawker Siddeley HS-748,Philippine Air Lines,36,C1,1968,En route (ENR),Domestic Scheduled Passenger
31-MAR-1971,Airplane - Airframe,Antonov An-10,Aeroflot / Privolzhsk,65,A1,1958,Approach (APR),Domestic Scheduled Passenger
06-MAY-1971,Airplane - Airframe,Carstedt Jet Liner 600A,Apache Airlines,12,A1,,En route (ENR),Domestic Scheduled Passenger
02-OCT-1971,Airplane - Airframe,Vickers 951 Vanguard,BEA,63,A1,1959-10-17,En route (ENR),International Scheduled Passenger
24-DEC-1971,Airplane - Airframe,Lockheed L-188A Electra,LANSA,91,A1,1959,En route (ENR),Domestic Scheduled Passenger
12-MAY-1972,Airplane - Airframe,Lockheed 18 Learstar,Carolina Aircraft,8,A1,1943,En route (ENR),Executive
18-MAY-1972,Airplane - Airframe,Antonov An-10A,Aeroflot / Ukraine,122,A1,1961,Approach (APR),Domestic Scheduled Passenger
12-JUN-1972,Airplane - Airframe,DC-10-10,American Airlines,0,A2,1971,En route (ENR),Domestic Scheduled Passenger
14-AUG-1972,Airplane - Airframe,Ilyushin Il-62,Interflug,156,A1,1970,En route (ENR),Int'l Non Scheduled Passenger
10-SEP-1972,Airplane - Airframe,Douglas C-47 (DC-3),Ethiopian Airlines,11,A1,1942,En route (ENR),Domestic Scheduled Passenger
31-OCT-1972,Airplane - Airframe,Dassault Falcon 10,Dassault,2,A1,1970-12-01,Maneuvering (MNV),Test
23-FEB-1973,Airplane - Airframe,Douglas DC-3F,Southern Air Super,1,A1,1945,Maneuvering (MNV),Agricultural
03-JUN-1973,Airplane - Airframe,Tupolev Tu-144S,Tupolev,6+ 8,A1,1972-03-29,Initial climb (ICL),Demonstration
17-DEC-1973,Airplane - Airframe,Curtiss C-46A,T.A. Suravia,3,A1,1944,Unknown (UNK),Cargo
03-MAR-1974,Airplane - Airframe,DC-10-10,THY,346,A1,1972,En route (ENR),International Scheduled Passenger
23-MAY-1974,Airplane - Airframe,Lockheed L-100-30 Hercules,Saturn Airways,4,A1,1967,En route (ENR),Cargo
08-JUN-1974,Airplane - Airframe,Vickers 785D Viscount,Aerolíneas TAO,44,A1,1958-05-09,En route (ENR),Domestic Scheduled Passenger
27-OCT-1974,Airplane - Airframe,Lockheed L-100 Hercules,Alaska Int. Air,4,A1,1967,Approach (APR),Cargo
04-APR-1975,Airplane - Airframe,Lockheed C-5A Galaxy,USAF,138,A1,,En route (ENR),Military
26-SEP-1975,Airplane - Airframe,Nord 2501D Noratlas,Portuguese AF,11,A1,,Unknown (UNK),Military
14-APR-1976,Airplane - Airframe,Avro 748-105 Srs. 1,YPF,34,A1,1962,En route (ENR),Domestic Non Scheduled Passenger
09-MAY-1976,Airplane - Airframe,Boeing 747-131F,Iran AF,17,A1,1970-09-15,En route (ENR),Cargo
06-AUG-1976,Airplane - Airframe,GAF Nomad N.24,GAF,2,A1,1975,Initial climb (ICL),Test
28-APR-1977,Airplane - Airframe,Hawker Siddeley HS-125-600A,Southern Company Services,4,A1,1973,En route (ENR),Executive
14-MAY-1977,Airplane - Airframe,Boeing 707-321C,"Dan-Air Services, op.for IAS Cargo",6,A1,1963,Approach (APR),Cargo
07-JUL-1977,Airplane - Airframe,Let L-410UVP,Let,4,A1,,Unknown (UNK),Test
02-SEP-1977,Airplane - Airframe,Canadair CL-44D4-2,Transmeridian Air Cargo,4,A1,1961-05-17,En route (ENR),Cargo
22-SEP-1978,Airplane - Airframe,Lockheed P-3B Orion,US Navy,8,A1,1966,En route (ENR),Military
27-OCT-1979,Airplane - Airframe,Antonov An-2TP,Aeroflot / Yakutsk,3,A1,1968,Takeoff (TOF),Domestic Scheduled Passenger
18-NOV-1979,Airplane - Airframe,Lockheed L-188CF Electra,Transamerica Airlines,3,A1,1960,En route (ENR),Cargo
26-AUG-1980,Airplane - Airframe,Vickers 812 Viscount,"FEAT, op.for Bouraq Indonesia",37,A1,1958,Approach (APR),Domestic Scheduled Passenger
10-SEP-1980,Airplane - Airframe,Douglas C-47 (DC-3),Aeronorte,3,A1,1942,En route (ENR),Cargo
26-JUN-1981,Airplane - Airframe,Hawker Siddeley HS-748,Dan-Air Services,3,A1,1964,En route (ENR),Cargo
20-JUL-1981,Airplane - Airframe,Fokker F-27 Friendship 600RF,Somali Airlines,50,A1,1977,En route (ENR),Domestic Scheduled Passenger
22-AUG-1981,Airplane - Airframe,Boeing 737-222,FEAT,110,A1,1969-04-30,En route (ENR),Domestic Scheduled Passenger
06-OCT-1981,Airplane - Airframe,Fokker F-28 Fellowship 4000,NLM Cityhopper,17,A1,1979-01-12,En route (ENR),Domestic Scheduled Passenger
11-MAR-1982,Airplane - Airframe,DHC-6 Twin Otter 300,Widerøes Flyveselskap,15,A1,1977,En route (ENR),Domestic Scheduled Passenger
13-APR-1982,Airplane - Airframe,Lockheed C-130H Hercules,USAF,27,A1,1976,En route (ENR),Military
12-MAY-1982,Airplane - Airframe,Lockheed C-130E Hercules,USAF,7,A1,1965,En route (ENR),Military
30-MAY-1984,Airplane - Airframe,Lockheed L-188AF Electra,Zantop,4,A1,1959,En route (ENR),Cargo
05-AUG-1984,Airplane - Airframe,Antonov An-12B,Soviet Navy,24,A1,1963,En route (ENR),Cargo
06-DEC-1984,Airplane - Airframe,Embraer EMB-110P1 Bandeirante,PBA,13,A1,1981,Initial climb (ICL),Domestic Scheduled Passenger
22-JAN-1985,Airplane - Airframe,Antonov An-26RT,Soviet AF,8,A1,,En route (ENR),Military
23-JUN-1985,Airplane - Airframe,Boeing 747-237B,Air-India,329,C1,1978-06-19,En route (ENR),International Scheduled Passenger
02-APR-1986,Airplane - Airframe,Lockheed HC-130P Combat King,USAF,11,A1,1966,En route (ENR),Military
02-APR-1986,Airplane - Airframe,Boeing 727-231,TWA,4,C2,1974-08-29,En route (ENR),International Scheduled Passenger
18-APR-1986,Airplane - Airframe,Yakovlev Yak-40,Aeroflot / Privolzhsk,0,A1,1975,Unknown (UNK),Unknown
17-MAY-1986,Airplane - Airframe,Yakovlev Yak-40,Aeroflot / Yakutsk,5,A1,1977,Unknown (UNK),Test
13-NOV-1986,Airplane - Airframe,Lockheed L-1011 TriStar 1,Delta Air Lines,0,A2,1974,Landing (LDG),Domestic Scheduled Passenger
11-MAY-1987,Airplane - Airframe,Douglas C-47J (DC-3),Northland Air Manitoba,2,A1,1944,Approach (APR),Cargo
16-SEP-1987,Airplane - Airframe,Fairchild C-119G Flying Boxcar,Hawkins & Powers,3,A1,,Maneuvering (MNV),Fire fighting
31-OCT-1987,Airplane - Airframe,BN-2A-26 Islander,Onyx Aviation,2,A1,1979-03-29,En route (ENR),Ferry/positioning
28-NOV-1987,Airplane - Airframe,Boeing 747-244B,South African Airways,159,A1,1980-11-12,En route (ENR),International Scheduled Passenger
08-FEB-1988,Airplane - Airframe,Swearingen SA227-AC Metro III,NFD,21,A1,1982,Approach (APR),Domestic Scheduled Passenger
28-APR-1988,Airplane - Airframe,Boeing 737-297,Aloha Airlines,1,A1,1969-03-28,En route (ENR),Domestic Scheduled Passenger
27-SEP-1988,Airplane - Airframe,Antonov An-8,MAP Moscow,5,A1,1960,En route (ENR),Cargo
21-DEC-1988,Airplane - Airframe,Boeing 747-121A,Pan Am,259+ 11,C1,1970-01-25,En route (ENR),International Scheduled Passenger
24-FEB-1989,Airplane - Airframe,Boeing 747-122,United Airlines,9,A2,1970-10-20,En route (ENR),International Scheduled Passenger
18-MAR-1989,Airplane - Airframe,DC-9-33RC,Evergreen International,2,A1,1968,Approach (APR),Cargo
14-JUL-1989,Airplane - Airframe,DC-8-63F,TAMPA Colombia,0,A2,1969,Takeoff (TOF),Cargo
08-SEP-1989,Airplane - Airframe,Convair CV-580,Partnair,55,A1,1953,En route (ENR),Int'l Non Scheduled Passenger
11-SEP-1991,Airplane - Airframe,Embraer EMB-120RT Brasilia,"Continental Express, opb Britt Airways",14,A1,1987,En route (ENR),Domestic Scheduled Passenger
18-SEP-1991,Airplane - Airframe,Convair CV-580,Canair Cargo,2,A1,1953,En route (ENR),Cargo
22-MAR-1992,Airplane - Airframe,Antonov An-30A,Myachkovo Avia,10,A1,1980,En route (ENR),Domestic Scheduled Passenger
13-OCT-1992,Airplane - Airframe,Antonov An-124-100,Antonov Design Bureau,8,A1,1984,Maneuvering (MNV),Test
15-DEC-1994,Airplane - Airframe,Beech 1900D,"United Express, opb Mesa Airlines",0,A2,,Takeoff (TOF),Domestic Scheduled Passenger
17-JUL-1996,Airplane - Airframe,Boeing 747-131,TWA,230,A1,1971-08-18,En route (ENR),International Scheduled Passenger
24-DEC-1996,Airplane - Airframe,HAL-748,Indian AF,22,A1,1971,En route (ENR),Military
24-FEB-1997,Airplane - Airframe,Hawker Siddeley HS-748,Bouraq Indonesia,0,A2,1968-01-09,Takeoff (TOF),Domestic Scheduled Passenger
07-MAR-1997,Airplane - Airframe,Cessna 500 Citation I,ATO,2,A1,1973,En route (ENR),Unknown
18-MAR-1997,Airplane - Airframe,Antonov An-24RV,Stavropolskaya Aktsionernaya Avia,50,A1,1973,En route (ENR),Int'l Non Scheduled Passenger
03-FEB-1999,Airplane - Airframe,BN-2A-26 Islander,Airlink,11,A1,1975-10-31,En route (ENR),Domestic Scheduled Passenger
28-JUL-1999,Airplane - Airframe,Hawker Siddeley HS-748,Air Espace,0,A2,1967,En route (ENR),Domestic Scheduled Passenger
10-NOV-1999,Airplane - Airframe,Douglas DC-3C,ALIANSA Colombia,5,A1,1944,En route (ENR),Cargo
31-JAN-2001,Airplane - Airframe,Douglas DC-6B,Everts Air Cargo,0,A1,1956,Landing (LDG),Cargo
28-AUG-2001,Airplane - Airframe,Dassault Falcon 20C,Grand Aire Express,0,A1,1967,Landing (LDG),Cargo
25-SEP-2001,Airplane - Airframe,Douglas DC-6BF,Northern Air Cargo,0,A1,1957,Landing (LDG),Cargo
12-NOV-2001,Airplane - Airframe,Airbus A300B4-605R,American Airlines,260+ 5,A1,1987-12-09,En route (ENR),International Scheduled Passenger
06-MAR-2002,Airplane - Airframe,Dornier 328-110,Scot Airways,0,A2,1995,Takeoff (TOF),Domestic Scheduled Passenger
14-MAR-2002,Airplane - Airframe,Antonov An-2R,Aerotaxi,16,A1,,En route (ENR),Domestic Non Scheduled Passenger
25-MAY-2002,Airplane - Airframe,Boeing 747-209B,China Airlines,225,A1,1979-07-16,En route (ENR),International Scheduled Passenger
17-JUN-2002,Airplane - Airframe,Lockheed C-130A Hercules,Hawkins & Powers,3,A1,1957,Maneuvering (MNV),Fire fighting
18-JUL-2002,Airplane - Airframe,Consolidated PB4Y-2 Super Privateer,Hawkins & Powers,2,A1,1945,Maneuvering (MNV),Fire fighting
01-MAR-2003,Airplane - Airframe,Let L-410UVP,Borki Air Club,11,A1,1983,Maneuvering (MNV),Parachuting
24-AUG-2003,Airplane - Airframe,Let L-410UVP-E3,Tropical Airways,21,A1,1987,Approach (APR),Domestic Scheduled Passenger
05-NOV-2005,Airplane - Airframe,Cessna 500 Citation I,HCEA,2,A1,1972,Takeoff (TOF),Unknown
19-DEC-2005,Airplane - Airframe,Grumman G-73T Turbo Mallard,Chalk's,20,A1,1947,Initial climb (ICL),International Scheduled Passenger
08-AUG-2006,Airplane - Airframe,Fokker 100,TAM Brasil,0,A2,1993,En route (ENR),Domestic Scheduled Passenger
26-OCT-2006,Airplane - Airframe,CASA C-212 Aviocar 200,Swedish Coast Guard,4,A1,1986-08-08,En route (ENR),Survey/research
29-NOV-2006,Airplane - Airframe,Grob G.180A SPn,Grob,1,A1,2006-09-29,Maneuvering (MNV),Demonstration
12-JAN-2007,Airplane - Airframe,Cessna 525 CitationJet,SunQuest,2,A1,1996,Initial climb (ICL),Ferry/positioning
31-AUG-2008,Airplane - Airframe,Swearingen SA227-AC Metro III,McNeely Charter Service,0,A2,1986,En route (ENR),Ferry/positioning
05-MAR-2011,Airplane - Airframe,Antonov An-148-100E,VASO,6,A1,2011-01-03,En route (ENR),Test
31-MAR-2011,Airplane - Airframe,DHC-3T Texas Turbine Otter,Black Sheep Aviation & Cattle Co.,1,A1,1956,En route (ENR),Cargo
09-AUG-2011,Airplane - Airframe,Antonov An-12AP,"KnAAPO, op.for Avis Amur",11,A1,1963,En route (ENR),Cargo
02-DEC-2013,Airplane - Airframe,Swearingen SA227-AC Metro III,IBC Airways,2,A1,1986,En route (ENR),Cargo
14-JAN-2014,Airplane - Airframe,Gulfstream G200,NetJets,0,A2,2003,En route (ENR),Test
